# Rg Avg-P(Rg) Err
1.0 0.0 0.0
1.024 0.0 0.0
1.048 0.0 0.0
1.072 0.0 0.0
1.096 0.0 0.0
1.12 0.0 0.0
1.1440000000000001 0.0 0.0
1.168 0.0 0.0
1.192 0.0 0.0
1.216 0.0 0.0
1.24 0.0 0.0
1.264 0.0 0.0
1.288 0.0 0.0
1.312 0.0 0.0
1.336 0.0 0.0
1.3599999999999999 0.0 0.0
1.384 0.0 0.0
1.408 0.0 0.0
1.432 0.0 0.0
1.456 0.0 0.0
1.48 0.0 0.0
1.504 0.0 0.0
1.528 0.0 0.0
1.552 0.0 0.0
1.576 0.0 0.0
1.6 0.0 0.0
1.624 0.0 0.0
1.6480000000000001 0.0 0.0
1.6720000000000002 8e-323 0.0
1.6960000000000002 2.544e-321 0.0
1.72 8.17e-320 0.0
1.744 2.60319e-318 0.0
1.768 8.226436e-317 0.0
1.792 2.57822605e-315 0.0
1.816 8.013720506e-314 0.0
1.8399999999999999 2.47030923133e-312 0.0
1.8639999999999999 7.552180867993e-311 0.0
1.888 2.2897990767789e-309 0.0
1.912 6.885354465971447e-308 0.0
1.936 2.053331951837289e-306 0.0
1.96 6.072897673867055e-305 0.0
1.984 1.781298487367516e-303 0.0
2.008 5.181808671582e-302 0.0
2.032 1.4949614293412682e-300 0.0
2.056 4.277426380615545e-299 0.0
2.08 1.2137773867185216e-297 0.0
2.104 3.4158554548777457e-296 0.0
2.128 9.533752497969924e-295 0.0
2.152 2.638956361466114e-293 0.0
2.176 7.244434543786763e-292 0.0
2.2 1.9723352065519595e-290 0.0
2.224 5.325506425682841e-289 0.0
2.248 1.426083819619825e-287 0.0
2.2720000000000002 3.787329989198173e-286 0.0
2.2960000000000003 9.975282362764913e-285 0.0
2.3200000000000003 2.605680765922457e-283 0.0
2.3440000000000003 6.750270505110001e-282 0.0
2.3680000000000003 1.7343035307925014e-280 0.0
2.3920000000000003 4.419091596939926e-279 0.0
2.416 1.1167214660814213e-277 0.0
2.44 2.7987280006515206e-276 0.0
2.464 6.956335037936366e-275 0.0
2.488 1.7147636164808439e-273 0.0
2.512 4.1921035632970494e-272 0.0
2.536 1.0163978122945067e-270 0.0
2.56 2.4439899620300064e-269 0.0
2.584 5.828262368110953e-268 0.0
2.608 1.3784237654856383e-266 0.0
2.632 3.2331838054123315e-265 0.0
2.656 7.5211114478270876e-264 0.0
2.6799999999999997 1.7351524685750114e-262 0.0
2.7039999999999997 3.9700616627091107e-261 0.0
2.7279999999999998 9.008673683477814e-260 0.0
2.752 2.0273487151521521e-258 0.0
2.776 4.524806955438632e-257 0.0
2.8 1.0015569667813308e-255 0.0
2.824 2.1986457540064404e-254 0.0
2.848 4.7867293644360314e-253 0.0
2.872 1.0335381117923765e-251 0.0
2.896 2.2131871033335217e-250 0.0
2.92 4.700172329788591e-249 0.0
2.944 9.899504348168555e-248 0.0
2.968 2.067840998686864e-246 0.0
2.992 4.283757300853585e-245 0.0
3.016 8.801092824924042e-244 0.0
3.04 1.7932976389900714e-242 0.0
3.064 3.623866468611848e-241 0.0
3.088 7.262665370186027e-240 0.0
3.112 1.4435237169370898e-238 0.0
3.136 2.8454821007504406e-237 0.0
3.16 5.562779443515735e-236 0.0
3.184 1.078529122722634e-234 0.0
3.208 2.07384344416111e-233 0.0
3.232 3.9547963049217235e-232 0.0
3.2560000000000002 7.479564906810523e-231 0.0
3.2800000000000002 1.4029190706859396e-229 0.0
3.3040000000000003 2.6097143558896255e-228 0.0
3.328 4.814568905643572e-227 0.0
3.352 8.808985992209398e-226 0.0
3.376 1.5984480168806651e-224 0.0
3.4 2.876571706273751e-223 0.0
3.424 5.134001436897933e-222 0.0
3.448 9.087425555704665e-221 0.0
3.472 1.595254028410527e-219 0.0
3.496 2.7773009477638376e-218 0.0
3.52 4.795348206332454e-217 0.0
3.544 8.21148062908066e-216 0.0
3.568 1.3945269801090765e-214 0.0
3.592 2.3487484068686387e-213 0.0
3.616 3.923288187303542e-212 0.0
3.64 6.499322133440399e-211 0.0
3.664 1.0678003555168557e-209 0.0
3.688 1.7398676411546946e-208 0.0
3.712 2.8115545780501493e-207 0.0
3.736 4.505894195287092e-206 0.0
3.7600000000000002 7.161757816790188e-205 0.0
3.7840000000000003 1.1289181309411671e-203 0.0
3.8080000000000003 1.7648567002875124e-202 0.0
3.832 2.736280638220242e-201 0.0
3.856 4.207421509156522e-200 0.0
3.88 6.416166290186549e-199 0.0
3.904 9.70374576433603e-198 0.0
3.928 1.4554839651626714e-196 0.0
