# Rg Avg-P(Rg) Err
1.0 1.2338816799555975e-270 0.0
1.024 4.5683409383224976e-269 0.0
1.048 1.6734114679161723e-267 0.0
1.072 6.064656597546763e-266 0.0
1.096 2.174547654460675e-264 0.0
1.12 7.714199851163037e-263 0.0
1.1440000000000001 2.7075225602045742e-261 0.0
1.168 9.401832813981356e-260 0.0
1.192 3.2300720262169793e-258 0.0
1.216 1.0979211004037753e-256 0.0
1.24 3.69223470056885e-255 0.0
1.264 1.2284760973076315e-253 0.0
1.288 4.043927542286594e-252 0.0
1.312 1.3170409062945145e-250 0.0
1.336 4.243795098254044e-249 0.0
1.3599999999999999 1.3529096491359215e-247 0.0
1.384 4.267194382242869e-246 0.0
1.408 1.3316046538211928e-244 0.0
1.432 4.111188858737333e-243 0.0
1.456 1.255795138156117e-241 0.0
1.48 3.7951540882239177e-240 0.0
1.504 1.1347476099736287e-238 0.0
1.528 3.35682257610204e-237 0.0
1.552 9.824642267780877e-236 0.0
1.576 2.8448826254071784e-234 0.0
1.6 8.15025522399308e-233 0.0
1.624 2.3101347561246713e-231 0.0
1.6480000000000001 6.478324072809484e-230 0.0
1.6720000000000002 1.7974105034918565e-228 0.0
1.6960000000000002 4.93390896509238e-227 0.0
1.72 1.339967424971747e-225 0.0
1.744 3.600448485226849e-224 0.0
1.768 9.571460582973123e-223 0.0
1.792 2.5174397330112677e-221 0.0
1.816 6.550873360962795e-220 0.0
1.8399999999999999 1.6865475119441224e-218 0.0
1.8639999999999999 4.295930159328348e-217 0.0
1.888 1.0826176436152874e-215 0.0
1.912 2.699306783151375e-214 0.0
1.936 6.658687745066873e-213 0.0
1.96 1.6251157954315386e-211 0.0
1.984 3.924092472521164e-210 0.0
2.008 9.374614442534588e-209 0.0
2.032 2.2157811251368348e-207 0.0
2.056 5.181548459843002e-206 0.0
2.08 1.1988132462954516e-204 0.0
2.104 2.7441178958409195e-203 0.0
2.128 6.214601196712887e-202 0.0
2.152 1.392460963297799e-200 0.0
2.176 3.0868253684975477e-199 0.0
2.2 6.770182270461731e-198 0.0
2.224 1.4690884056127079e-196 0.0
2.248 3.153949767536798e-195 0.0
2.2720000000000002 6.699168247888989e-194 0.0
2.2960000000000003 1.4078172150288858e-192 0.0
2.3200000000000003 2.9270553346299085e-191 0.0
2.3440000000000003 6.021086547892767e-190 0.0
2.3680000000000003 1.2254005885215751e-188 0.0
2.3920000000000003 2.467405782883892e-187 0.0
2.416 4.915439469683416e-186 0.0
2.44 9.688206981982056e-185 0.0
2.464 1.889225280932217e-183 0.0
2.488 3.644881167093314e-182 0.0
2.512 6.957324916560611e-181 0.0
2.536 1.3138944769968011e-179 0.0
2.56 2.4549235881241218e-178 0.0
2.584 4.538107330842126e-177 0.0
2.608 8.299861437053015e-176 0.0
2.632 1.5018488195067413e-174 0.0
2.656 2.6886909888394027e-173 0.0
2.6799999999999997 4.762279345158181e-172 0.0
2.7039999999999997 8.345418968838644e-171 0.0
2.7279999999999998 1.446907367654256e-169 0.0
2.752 2.4819476631479425e-168 0.0
2.776 4.212149924222304e-167 0.0
2.8 7.072522455367821e-166 0.0
2.824 1.1749088218607184e-164 0.0
2.848 1.9310490825204974e-163 0.0
2.872 3.140087727208963e-162 3.1434555694052576e-162
2.896 5.0518398482891904e-161 5.051093936093643e-161
2.92 8.041122789143097e-160 8.041116640665893e-160
2.944 1.2663190596303784e-158 1.2663190577090239e-158
2.968 1.973008364670139e-157 1.973008364673023e-157
2.992 3.041403531582817e-156 3.0414035315828813e-156
3.016 4.638510086223853e-155 4.638510086223852e-155
3.04 6.999101766681017e-154 6.999101766681017e-154
3.064 1.044877694650793e-152 1.0448776946507928e-152
3.088 1.5432914823608137e-151 1.5432914823608137e-151
3.112 2.2552246776646026e-150 2.255224677664602e-150
3.136 3.260551242279483e-149 3.260551242279483e-149
3.16 4.66392553436922e-148 4.663925534369219e-148
3.184 6.600419716730955e-147 6.600419716730954e-147
3.208 9.241678793913171e-146 9.24167879391317e-146
3.232 1.2802346091464103e-144 1.28023460914641e-144
3.2560000000000002 1.754638434712353e-143 1.7546384347123533e-143
3.2800000000000002 2.379277507438155e-142 2.379277507438155e-142
3.3040000000000003 3.191993152432813e-141 3.191993152432813e-141
3.328 4.236802302903137e-140 4.236802302903138e-140
3.352 5.563829973772537e-139 5.563829973772536e-139
3.376 7.22884491513697e-138 7.228844915136969e-138
3.4 9.292303344484034e-137 9.292303344484036e-137
3.424 1.181781723279563e-135 1.1817817232795632e-135
3.448 1.4869986868699063e-134 1.4869986868699065e-134
3.472 1.8511573371269265e-133 1.851157337126927e-133
3.496 2.2800035273486745e-132 2.280003527348674e-132
3.52 2.7783512518649494e-131 2.77835125186495e-131
3.544 3.349640772268251e-130 3.3496407722682516e-130
3.568 3.9954783129542666e-129 3.995478312954266e-129
3.592 4.715185558891658e-128 4.715185558891656e-128
3.616 5.505392337863995e-127 5.505392337863994e-127
3.64 6.359708980545295e-126 6.359708980545294e-126
3.664 7.268515199860463e-125 7.268515199860464e-125
3.688 8.21889936962784e-124 8.21889936962784e-124
3.712 9.194775544601116e-123 9.194775544601115e-123
3.736 1.0177195544187697e-121 1.0177195544187697e-121
3.7600000000000002 1.1144860421545399e-120 1.1144860421545397e-120
3.7840000000000003 1.2074820565358823e-119 1.2074820565358825e-119
3.8080000000000003 1.2943337788548936e-118 1.2943337788548936e-118
3.832 1.3726867540452804e-117 1.3726867540452802e-117
3.856 1.4403106414060364e-116 1.4403106414060361e-116
3.88 1.4952040886462109e-115 1.4952040886462104e-115
3.904 1.5356928922508476e-114 1.5356928922508477e-114
3.928 1.5605147432776325e-113 1.5605147432776328e-113
3.952 1.5688845783656464e-112 1.5688845783656464e-112
3.976 1.560535816674612e-111 1.560535816674612e-111
4.0 1.535734460983437e-110 1.5357344609834373e-110
4.024 1.4952650223760176e-109 1.4952650223760174e-109
4.048 1.4403893075276943e-108 1.4403893075276943e-108
4.072 1.3727810889206326e-107 1.3727810889206326e-107
4.096 1.2944413760486982e-106 1.2944413760486982e-106
4.12 1.2076002669174388e-105 1.207600266917439e-105
4.144 1.1146120801879744e-104 1.1146120801879742e-104
4.168 1.0178506048230628e-103 1.0178506048230628e-103
4.192 9.196108736749927e-103 9.196108736749925e-103
4.216 8.220229444768926e-102 8.220229444768926e-102
4.24 7.269818755018759e-101 7.26981875501876e-101
4.264 6.360965615973541e-100 6.360965615973541e-100
4.288 5.5065850711685436e-99 5.5065850711685436e-99
4.312 4.7163010483914644e-98 4.7163010483914644e-98
4.336 3.996506898307439e-97 3.9965068983074387e-97
4.359999999999999 3.3505763505284963e-96 3.350576350528495e-96
4.384 2.7791910150061442e-95 2.779191015006144e-95
4.4079999999999995 2.2807475925029696e-94 2.2807475925029696e-94
4.432 1.8518083032464253e-93 1.851808303246425e-93
4.4559999999999995 1.4875611513395981e-92 1.4875611513395976e-92
4.48 1.1822617895725896e-91 1.1822617895725894e-91
4.504 9.296351376812788e-91 9.296351376812786e-91
4.5280000000000005 7.232217633441237e-90 7.232217633441235e-90
4.552 5.566606856675615e-89 5.5666068566756154e-89
4.5760000000000005 4.2390618291954553e-88 4.2390618291954553e-88
4.6 3.1938103184347817e-87 3.1938103184347813e-87
